timestamp,-1min,sma7,sma25,sma50,ema7,ema25,ema50,close
1682178420,27477.2,27473.29791810625,27453.202601550343,27416.83616096787,27472.208860991253,27469.631436449337,27452.407797780063,27472.45
1682178480,27472.45,27470.91392980536,27453.338897488327,27417.631637748513,27468.30914574344,27468.629787491696,27452.57259002398,27456.61
1682178540,27456.61,27469.32765411888,27453.597741588797,27418.47520499354,27466.18435930758,27467.951342300028,27452.856410023043,27459.81
1682178600,27459.81,27467.393703530466,27453.685431925245,27419.221500893673,27463.585769480684,27467.015854430792,27452.97145276724,27455.79
1682178660,27455.79,27466.833174454685,27454.076814648233,27420.106470875802,27463.556827110515,27466.74309639765,27453.383160501857,27463.47
1682178720,27463.47,27467.31272096116,27454.7213420623,27421.108141458288,27465.215120332887,27467.0082428286,27454.04225224688,27470.19
1682178780,27470.19,27468.218046538135,27455.47848837981,27422.158978629122,27467.323840249664,27467.519147226405,27454.811183531318,27473.65
1682178840,27473.65,27470.03689703269,27456.497348844612,27423.334799056538,27470.730380187248,27468.55228974745,27455.836235157538,27480.95
1682178900,27480.95,27472.907340313734,27457.84265489083,27424.670703075408,27475.580285140437,27470.21211361303,27457.181088680773,27490.13
1682178960,27490.13,27477.034863126057,27459.600948695195,27426.2132890139,27482.13521385533,27472.64195102741,27458.93084990898,27501.8
1682179020,27501.8,27478.57559696519,27460.729710747386,27427.445423233625,27483.556410391495,27473.80949325607,27460.063757755684,27487.82
1682179080,27487.82,27478.566225970164,27461.44092231749,27428.466714768954,27482.29480779362,27474.171070697914,27460.78713980448,27478.51
1682179140,27478.51,27480.723907974425,27462.730085424795,27429.770780473576,27485.138605845215,27475.670988336533,27462.076663733722,27493.67
1682179200,27493.67,27484.05620683522,27464.38288200781,27431.256364864108,27489.86645438391,27477.853989233725,27463.722676920635,27504.05
1682179260,27504.05,27486.81960585876,27465.9435667275,27432.699237566823,27493.249840787932,27479.81906698498,27465.278650374727,27503.4
1682179320,27503.4,27490.04251930751,27467.6810240584,27434.232852815483,27497.28238059095,27482.09298490921,27467.008115065913,27509.38
1682179380,27509.38,27493.156445120723,27469.447383096063,27435.784995759175,27500.921785443214,27484.381216839272,27468.76622820058,27511.84
1682179440,27511.84,27497.699810103477,27471.66788777222,27437.568495843992,27506.93133908241,27487.502661697792,27470.96990552605,27524.96
1682179500,27524.96,27503.40840866012,27474.307572261332,27439.57032592711,27514.61350431181,27491.360918490267,27473.585203348557,27537.66
1682179560,27537.66,27508.50863599439,27476.89966937088,27441.56111940857,27520.737628233856,27495.033924760242,27476.154803217243,27539.11
1682179620,27539.11,27515.961687995186,27480.250882596047,27443.9434970204,27530.723221175394,27500.083622855607,27479.469516816567,27560.68
1682179680,27560.68,27535.03144685302,27487.018847292205,27448.05362707999,27560.404915881543,27511.57334417441,27486.135418117876,27649.45
1682179740,27649.45,27546.428383016875,27492.13049340052,27451.38875453839,27574.006186911156,27519.514625391763,27491.181480152474,27614.81
1682179800,27614.81,27553.738614014466,27496.3492736645,27454.312979447626,27579.90464018337,27525.52119266932,27495.354755440614,27597.6
1682179860,27597.6,27562.5588120124,27501.11450271792,27457.536319858675,27588.798480137524,27532.441100925524,27500.0655493449,27615.48
1682179920,27615.48,27572.440410296345,27506.339122609203,27461.0201934615,27599.53136010314,27540.078708546636,27505.2288611353,27631.73
1682179980,27631.73,27585.554637396865,27512.655157704834,27465.08458959227,27615.708520077358,27549.62957711997,27511.464592071166,27664.24
1682180040,27664.24,27596.316832054457,27518.58455139664,27469.00069780042,27627.00389005802,27558.188071187666,27517.324411989943,27660.89
1682180100,27660.89,27605.01442747525,27524.129169340777,27472.76468384441,27634.55291754351,27565.804373403997,27522.809729166805,27657.2
1682180160,27657.2,27612.06665212164,27529.33920256715,27476.396990167515,27639.509688157636,27572.61788314215,27527.96934763085,27654.38
1682180220,27654.38,27621.609987532836,27535.320434464462,27480.446450364165,27649.349766118226,27580.791122900446,27533.887020272778,27678.87
1682180280,27678.87,27627.14998931386,27540.323217085883,27484.045321356876,27652.10982458867,27586.914113446568,27538.84792143855,27660.39
1682180340,27660.39,27629.342847983313,27544.410288402447,27487.21441492974,27649.707368441505,27591.18995087375,27542.91270883312,27642.5
1682180400,27642.5,27628.529583985695,27547.57987686635,27489.94312663114,27643.19302633113,27593.68687772962,27546.078877114174,27623.65
1682180460,27623.65,27629.982500559167,27551.224681791697,27492.918264098516,27642.069769748345,27597.149425596574,27549.711078011653,27638.7
1682180520,27638.7,27630.395000479282,27554.490494520025,27495.71729881655,27639.76982731126,27599.897162089143,27552.972212207274,27632.87
1682180580,27632.87,27629.37571469653,27557.241274739223,27498.26815284022,27635.64237048344,27601.694303466902,27555.728596042285,27623.26
1682180640,27623.26,27626.077755454167,27559.203223749657,27500.42858978342,27628.304277862582,27602.04781858483,27557.71139619749,27606.29
1682180700,27606.29,27624.159504674997,27561.34109479967,27502.67301798775,27624.39070839694,27602.863371001382,27559.865851248567,27612.65
1682180760,27612.65,27623.502432578567,27563.669851007686,27505.010757627995,27623.183031297704,27604.147727078198,27562.20679825843,27619.56
1682180820,27619.56,27626.094942210202,27566.78905696738,27507.743542475437,27627.799773473278,27607.032517302952,27565.322217934572,27641.65
1682180880,27641.65,27625.95709332303,27569.122694688685,27510.091271625926,27627.13233010496,27608.42463135657,27567.66762115282,27625.13
1682180940,27625.13,27625.990365705456,27571.405386901133,27512.413246193406,27626.89674757872,27609.7911981753,27569.962616401728,27626.19
1682181000,27626.19,27625.447456318965,27573.436771425084,27514.608781269537,27625.72006068404,27610.744952161815,27572.010749091856,27622.19
1682181060,27622.19,27622.870676844825,27574.79570056808,27516.464805644144,27621.14254551303,27610.488417380137,27573.398955009823,27607.41
1682181120,27607.41,27620.146294438422,27575.955872545357,27518.211509531262,27616.806909134775,27609.97392373551,27574.59115285258,27603.8
1682181180,27603.8,27616.699680947215,27576.758437643544,27519.76767934064,27611.610181851083,27608.900544986627,27575.43149979954,27596.02
1682181240,27596.02,27615.054012240467,27577.895300137807,27521.475925753824,27610.002636388315,27608.614349218427,27576.598107650538,27605.18
