timestamp,-1min,sma7,sma25,sma50,ema7,ema25,ema50,price
1681484880,30486.29,30535.996108996096,30603.307223974243,30643.1999937015,30505.004105109976,30569.253054135963,30604.373279272168,30479.51
1681484940,30479.51,30527.78095056808,30598.314535015274,30639.90579382747,30498.37557883248,30562.27128074089,30599.436680085022,30478.49
1681485000,30478.49,30522.777957629787,30594.092353614662,30636.96287795092,30496.97168412436,30556.92425914544,30595.253280866,30492.76
1681485060,30492.76,30518.46682082553,30590.032659470075,30634.0756203919,30495.87876309327,30551.976239211173,30591.227662008507,30492.6
1681485120,30492.6,30517.838703564743,30586.99415309127,30631.675507984062,30500.426572319957,30549.060374656467,30588.201871341505,30514.07
1681485180,30514.07,30511.330317341206,30582.405586967616,30628.48759782438,30493.389929239966,30543.15419199059,30583.655915602627,30472.28
1681485240,30472.28,30502.454557721037,30577.07736348891,30624.90184586789,30482.342446929975,30535.926946452855,30578.3831345986,30449.2
1681485300,30449.2,30496.411049475173,30572.400268949354,30621.60680895053,30476.794335197483,30530.09795057187,30573.746541084933,30460.15
1681485360,30460.15,30496.252328121576,30569.316258191382,30619.08067277152,30481.420751398113,30527.421185143266,30570.670206140425,30495.3
1681485420,30495.3,30496.317709818493,30566.412007863728,30616.63325931609,30485.243063548587,30525.058786286096,30567.76980589962,30496.71
1681485480,30496.71,30492.443751272996,30562.52352754918,30613.684594129765,30481.23229766144,30520.76195657178,30563.90432331532,30469.2
1681485540,30469.2,30490.060358234,30559.052986447216,30610.92610224717,30479.86422324608,30517.30026760472,30560.447683185306,30475.76
1681485600,30475.76,30486.16887848629,30555.203666989324,30607.96398020223,30475.603167434558,30513.109477788974,30556.6191465898,30462.82
1681485660,30462.82,30484.83332441682,30552.068320309747,30605.341100598187,30475.907375575916,30510.31797949752,30553.489768292162,30476.82
1681485720,30476.82,30482.208563785847,30548.64398749736,30602.56347858622,30473.545531681935,30506.944288766943,30550.07683620227,30466.46
1681485780,30466.46,30477.487340387866,30544.664627997467,30599.495409014497,30467.44914876145,30502.499343477175,30546.119313213945,30449.16
1681485840,30449.16,30470.962006046746,30540.15044287757,30596.141700834207,30458.539361571085,30497.06170167124,30541.636595048694,30431.81
1681485900,30431.81,30459.316005182925,30534.122025162465,30592.00766681752,30441.264521178316,30488.78310923499,30535.668101125215,30389.44
1681485960,30389.44,30439.42800444251,30525.561144155967,30586.569513481172,30410.973390883737,30475.80748544768,30527.2144501007,30320.1
1681486020,30320.1,30418.434003807866,30516.237498389724,30580.68752321155,30381.347543162803,30461.704601951704,30518.008785390866,30292.47
1681486080,30292.47,30396.762003263888,30506.257198454132,30574.408372747315,30352.6931573721,30446.706555647725,30508.15471537554,30266.73
1681486140,30266.73,30373.61457422619,30495.39611051597,30567.61480529237,30323.202368029077,30430.400666751746,30497.432177517672,30234.73
1681486200,30234.73,30352.28249219388,30484.55186609533,30560.748309186525,30298.474276021807,30414.54600007853,30486.720719575806,30224.29
1681486260,30224.29,30330.302136166178,30473.106591451517,30553.501743002795,30273.460707016355,30397.920923149413,30475.414809004207,30198.42
1681486320,30198.42,30305.40183099958,30460.422327793454,30545.55170814274,30244.095530262268,30379.311621368688,30462.888738062866,30156
1681486380,30156,30291.434426571068,30450.31063468172,30538.79327397988,30234.9791476967,30366.105342801868,30452.878591472163,30207.63
1681486440,30207.63,30282.448079918056,30441.43940929445,30532.588008500286,30233.366860772527,30355.5226241248,30444.080607492866,30228.53
1681486500,30228.53,30277.39835421548,30433.665832922667,30526.87824833028,30236.800145579393,30347.18242226904,30436.355877787264,30247.1
1681486560,30247.1,30273.378589327556,30426.289599605763,30521.325883363672,30239.915109184545,30339.649928248346,30429.018784540705,30249.26
1681486620,30249.26,30267.3545051379,30418.48641562153,30515.5235656964,30237.73883188841,30331.30839530617,30421.261577303812,30231.21
1681486680,30231.21,30261.782432975342,30410.880958996666,30509.780094382473,30235.391623916308,30323.388518744152,30413.696417409545,30228.35
1681486740,30228.35,30265.28351397887,30405.8973206368,30505.31029249482,30248.116217937233,30320.534786533062,30408.700087315057,30286.29
1681486800,30286.29,30269.858726267605,30401.55382781133,30501.150286644926,30260.414663452924,30318.748264492056,30404.33184859682,30297.31
1681486860,30297.31,30272.91462251509,30397.14167469888,30496.952280912028,30268.123497589695,30316.633013377283,30399.897266298907,30291.25
1681486920,30291.25,30274.588247870077,30392.641207710923,30492.70583529379,30272.250123192272,30314.17124311749,30395.37698134601,30284.63
1681486980,30284.63,30274.11278388864,30387.785959402485,30488.27691858791,30272.002592394205,30310.8703782623,30390.509648744202,30271.26
1681487040,30271.26,30277.248100475972,30384.11692102639,30484.432580216155,30278.016944295654,30309.73111839597,30386.805740950313,30296.06
1681487100,30296.06,30282.67551469369,30381.361844185336,30481.048728611833,30287.32270822174,30310.154878519355,30383.9992413052,30315.24
1681487160,30315.24,30287.123298308874,30378.659770417926,30477.703954039596,30293.944531166308,30310.436041710174,30381.24672203833,30313.81
1681487220,30313.81,30292.47711283618,30376.497379601205,30474.64187495881,30301.60839837473,30311.52557696324,30379.025281958395,30324.6
1681487280,30324.6,30295.066096716728,30373.861484417157,30471.361037459636,30303.85629878105,30311.454378735296,30376.34193756787,30310.6
1681487340,30310.6,30298.28808290005,30371.611825040472,30468.286216710447,30307.297224085785,30311.928657294116,30374.03911648678,30317.62
