"DateTime","Positive","Neutral","Negative","Price"
"2020-10-13 00:00:00",10458,23128,1800,11438.125
"2020-10-14 00:00:00",9473,22483,1643,11424.564999999999
"2020-10-15 00:00:00",9660,20248,1722,11438.32
"2020-10-16 00:00:00",10657,20253,1630,11385.119999999999
"2020-10-17 00:00:00",11243,19979,1158,11340.35
"2020-10-18 00:00:00",10660,17119,1378,11435.465
"2020-10-19 00:00:00",11007,23275,1861,11619.53
"2020-10-20 00:00:00",8881,22807,1747,11868.06
"2020-10-21 00:00:00",5537,7716,453,12568.45
"2020-10-22 00:00:00",6024,6094,340,12949.215
"2020-10-23 00:00:00",4286,4646,288,12882.220000000001
"2020-10-24 00:00:00",3679,3820,255,13026.89
"2020-10-25 00:00:00",4420,3943,248,13128.545
"2020-10-26 00:00:00",3254,4864,314,13019.42
"2020-10-27 00:00:00",2454,4905,364,13421.89
"2020-10-28 00:00:00",7604,18790,1425,13380.86
"2020-10-29 00:00:00",12673,24431,1953,13314.58
"2020-10-30 00:00:00",10049,23780,1962,13403.71
"2020-10-31 00:00:00",11686,23312,1900,13755.02
"2020-11-01 00:00:00",10006,20038,1482,13763.619999999999
"2020-11-02 00:00:00",10763,21298,1576,13525.064999999999
"2020-11-03 00:00:00",12205,23709,1850,13686.19
"2020-11-04 00:00:00",11495,25550,2056,13899.015
"2020-11-05 00:00:00",15108,43664,2967,14926.92
"2020-11-06 00:00:00",14249,34885,2469,15584.224999999999
"2020-11-07 00:00:00",10707,23732,1873,15096.18
"2020-11-08 00:00:00",9494,20404,1559,15196.5
"2020-11-09 00:00:00",11604,26070,1766,15322.68
"2020-11-10 00:00:00",10511,23868,1969,15288.05
"2020-11-11 00:00:00",11112,27328,2084,15635.895
"2020-11-12 00:00:00",13112,33605,2397,15912.619999999999
"2020-11-13 00:00:00",12668,29692,2109,16229.21
"2020-11-14 00:00:00",9156,21913,1647,16027.45
"2020-11-15 00:00:00",10160,20131,1778,15976.425
"2020-11-16 00:00:00",12739,32852,2297,16377.125
"2020-11-17 00:00:00",19933,53197,3812,17210.434999999998
"2020-11-18 00:00:00",16875,50292,3884,17863.504999999997
"2020-11-19 00:00:00",12201,33104,2507,17768.975
"2020-11-20 00:00:00",12876,39404,2852,18289.47
"2020-11-21 00:00:00",12340,34955,2771,18662.59
"2020-11-22 00:00:00",11148,28157,2209,18196.364999999998
"2020-11-23 00:00:00",11798,32931,2518,18386.085
"2020-11-24 00:00:00",14698,49334,3226,18768.635000000002
"2020-11-25 00:00:00",12650,35392,2607,19004.35
